storageUtilizationPct,orders,realizedUnits,staffedHours,effectiveHours,uphBuilding,areaUnitsSortation,ophBuilding,buildingEffectiveHours,areaUnitsAsrs,targetOphBuilding,shifts,forecastUnits,staffedHeadcount,keyAssumptionVariance,areaUnitsPutaway,storagePallets,bulkShare,areaUnitsShipping,areaUnitsPacking,systemDowntimeHrs,nonconShare,buildingRealizedUnits,areaUnitsPicking,unitsPerVendorCarton,singlesShare,areaUnitsReceiving,buildingOrders,uphDept,ophDept,weekStart,department,buildingId
0.08,1144,2770.34,768,766.39,3.59,277.03,1.51,5958.29,481.61,520,2,2923.06,48.00,0.27,266.80,100.50,0.23,193.92,508.89,1.61,0.21,21370.00,737.34,11.97,0.69,304.74,8987,3.61,1.49,2024-11-18T00:00:00.000Z,Accessories,ATL_DC
4.87,977,2851.39,736,735.09,3.30,285.14,1.24,6279.92,505.03,520,2,2887.70,46.00,0.38,280.20,5841.82,0.29,199.60,518.18,0.91,0.18,20734.30,749.59,9.09,0.64,313.65,7799,3.88,1.33,2024-11-18T00:00:00.000Z,Accessories,BOS_DC
9.68,1277,3057.62,888,886.79,3.42,305.76,1.33,6089.03,536.44,520,3,2946.92,37.00,0.33,297.40,11615.52,0.26,214.03,558.73,1.21,0.17,20846.02,808.92,12.09,0.56,336.34,8118,3.45,1.44,2024-11-18T00:00:00.000Z,Accessories,CHI_DC
14.48,1271,2847.75,816,815.13,3.65,284.77,1.37,6072.45,496.70,520,2,2665.70,51.00,0.12,275.24,17371.03,0.24,199.34,522.13,0.87,0.14,22189.20,756.31,13.64,0.70,313.25,8324,3.49,1.56,2024-11-18T00:00:00.000Z,Accessories,DAL_DC
19.23,1036,3129.03,768,766.44,2.84,312.90,1.06,7482.27,533.28,520,2,3062.06,48.00,0.11,294.94,23071.70,0.16,219.03,581.19,1.56,0.15,21279.82,843.49,12.31,0.60,344.19,7938,4.08,1.35,2024-11-18T00:00:00.000Z,Accessories,LAX_DC
0.08,2762,6171.11,1488,1484.28,3.59,617.11,1.51,5958.29,1186.72,520,2,6018.61,93.00,0.07,662.66,100.50,0.60,431.98,1065.25,3.72,0.15,21370.00,1528.57,8.74,0.58,678.82,8987,4.16,1.86,2024-11-18T00:00:00.000Z,Apparel,ATL_DC
4.87,2689,5542.61,2304,2302.18,3.30,554.26,1.24,6279.92,1065.79,520,3,5712.98,96.00,0.26,595.13,5841.82,0.60,387.98,956.80,1.82,0.19,20734.30,1372.96,7.37,0.61,609.69,7799,2.41,1.17,2024-11-18T00:00:00.000Z,Apparel,BOS_DC
9.68,1521,5317.29,1896,1895.65,3.42,531.73,1.33,6089.03,1031.61,520,3,5971.03,79.00,0.37,576.43,11615.52,0.63,372.21,912.42,0.35,0.18,20846.02,1308.00,10.50,0.58,584.90,8118,2.80,0.80,2024-11-18T00:00:00.000Z,Apparel,CHI_DC
14.48,2692,6319.73,1376,1374.90,3.65,631.97,1.37,6072.45,1205.02,520,2,6011.52,86.00,0.20,672.45,17371.03,0.56,442.38,1097.07,1.10,0.21,22189.20,1575.66,13.75,0.52,695.17,8324,4.60,1.96,2024-11-18T00:00:00.000Z,Apparel,DAL_DC
19.23,2181,5943.31,1920,1919.76,2.84,594.33,1.06,7482.27,1165.52,520,3,6308.64,80.00,0.26,651.77,23071.70,0.67,416.03,1012.36,0.24,0.28,21279.82,1449.53,8.73,0.61,653.76,7938,3.10,1.14,2024-11-18T00:00:00.000Z,Apparel,LAX_DC
0.08,1240,3713.66,1088,1085.05,3.59,371.37,1.51,5958.29,667.40,520,2,3686.91,68.00,0.00,370.73,100.50,0.34,259.96,669.09,2.95,0.19,21370.00,966.61,9.34,0.61,408.50,8987,3.42,1.14,2024-11-18T00:00:00.000Z,Beauty,ATL_DC
4.87,1576,3880.57,1152,1150.12,3.30,388.06,1.24,6279.92,663.10,520,3,3918.22,48.00,0.26,366.82,5841.82,0.17,271.64,719.74,1.88,0.17,20734.30,1044.35,7.53,0.71,426.86,7799,3.37,1.37,2024-11-18T00:00:00.000Z,Beauty,BOS_DC
9.68,1484,3639.96,704,702.30,3.42,364.00,1.33,6089.03,657.46,520,2,3917.49,44.00,0.16,365.36,11615.52,0.36,254.80,653.83,1.70,0.12,20846.02,944.12,8.08,0.66,400.40,8118,5.18,2.11,2024-11-18T00:00:00.000Z,Beauty,CHI_DC
14.48,1155,3670.01,880,876.20,3.65,367.00,1.37,6072.45,663.21,520,2,3779.88,55.00,0.06,368.57,17371.03,0.36,256.90,659.03,3.80,0.20,22189.20,951.59,8.43,0.53,403.70,8324,4.19,1.32,2024-11-18T00:00:00.000Z,Beauty,DAL_DC
19.23,1206,3489.32,1368,1366.80,2.84,348.93,1.06,7482.27,633.77,520,3,3556.90,57.00,0.26,352.35,23071.70,0.38,244.25,624.66,1.20,0.20,21279.82,901.53,10.16,0.40,383.82,7938,2.55,0.88,2024-11-18T00:00:00.000Z,Beauty,LAX_DC
0.08,1932,4709.41,1088,1087.33,3.59,470.94,1.51,5958.29,891.95,520,2,4500.05,68.00,0.11,497.49,100.50,0.54,329.66,821.14,0.67,0.17,21370.00,1180.19,6.87,0.63,518.04,8987,4.33,1.78,2024-11-18T00:00:00.000Z,Footwear,ATL_DC
4.87,1309,4382.16,1088,1085.76,3.30,438.22,1.24,6279.92,808.92,520,2,5068.14,68.00,0.42,450.29,5841.82,0.44,306.75,776.71,2.24,0.22,20734.30,1119.23,8.85,0.71,482.04,7799,4.04,1.21,2024-11-18T00:00:00.000Z,Footwear,BOS_DC
9.68,1720,4596.43,1120,1117.83,3.42,459.64,1.33,6089.03,860.62,520,2,4921.26,70.00,0.19,479.60,11615.52,0.49,321.75,807.40,2.17,0.18,20846.02,1161.81,8.08,0.61,505.61,8118,4.11,1.54,2024-11-18T00:00:00.000Z,Footwear,CHI_DC
14.48,1642,5086.44,1968,1966.43,3.65,508.64,1.37,6072.45,937.20,520,3,5477.02,82.00,0.15,521.63,17371.03,0.44,356.05,902.57,1.57,0.17,22189.20,1300.83,11.61,0.71,559.51,8324,2.59,0.84,2024-11-18T00:00:00.000Z,Footwear,DAL_DC
19.23,1559,4391.70,1896,1895.62,2.84,439.17,1.06,7482.27,796.26,520,3,4884.87,79.00,0.10,442.63,23071.70,0.38,307.42,787.05,0.38,0.23,21279.82,1136.08,13.12,0.64,483.09,7938,2.32,0.82,2024-11-18T00:00:00.000Z,Footwear,LAX_DC
0.08,1909,4005.48,1536,1535.24,3.59,400.55,1.51,5958.29,717.48,520,3,4453.36,64.00,0.18,398.45,100.50,0.33,280.38,723.09,0.76,0.13,21370.00,1044.93,8.83,0.61,440.60,8987,2.61,1.24,2024-11-18T00:00:00.000Z,HomeGoods,ATL_DC
